Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,MonthlyDebt,NonRealEstateLoans
203,0,0.078738916,46.0,0,4800.0,6.0,0,1.0,0,4.0,797.8337856,5.0
204,0,0.137609462,49.0,0,7272.0,11.0,0,2.0,0,0.0,3123.570462624,9.0
205,0,0.030173038,64.0,0,9000.0,8.0,0,1.0,0,0.0,1564.82613,7.0
206,0,0.021978375,40.0,0,10000.0,12.0,0,5.0,0,2.0,4437.55624,7.0
207,0,0.443696851,27.0,0,5833.0,4.0,0,0.0,0,0.0,141.975657475,4.0
208,0,0.007506793,60.0,0,6172.361737928375,8.0,0,1.0,0,1.0,1253.0,7.0
209,0,0.046640328,92.0,1,2650.0,13.0,0,0.0,0,0.0,90.96567284999999,13.0
210,0,0.292365949,50.0,0,8750.0,8.0,0,2.0,0,0.0,3676.57982125,6.0
211,0,0.20808276,64.0,0,6888.963760721679,14.0,0,2.0,0,0.0,2826.0,12.0
212,0,0.9999999,66.0,1,1937.0,4.0,1,0.0,0,0.0,693.6418984950001,4.0
213,0,0.013500824,53.0,0,19000.0,8.0,0,1.0,0,2.0,3485.816532,7.0
214,0,0.9999999,62.0,0,6000.0,1.0,0,0.0,0,0.0,297.95034,1.0
215,1,0.655316473,63.0,0,10692.58475840348,19.0,0,2.0,0,0.0,5223.0,17.0
216,0,0.9999999,50.0,2,5126.462716240332,4.0,0,1.0,0,0.0,1208.0,3.0
217,0,0.028113957,61.0,0,2200.0,12.0,0,0.0,0,0.0,68.9686514,12.0
218,0,0.222696207,42.0,0,1.0,3.0,0,1.0,0,2.0,800.0,2.0
219,0,0.593985244,63.0,0,5250.0,4.0,0,2.0,0,0.0,1746.6673035,2.0
220,0,0.017508178,73.0,1,4166.0,12.0,0,1.0,0,0.0,564.8644113979999,11.0
221,0,0.611865678,72.0,0,7600.0,3.0,0,1.0,0,0.0,347.95422,2.0
222,0,0.333060631,52.0,3,5215.0,15.0,0,2.0,1,0.0,3651.2998454099998,13.0
223,0,0.009025178,45.0,0,8167.0,4.0,0,1.0,0,2.0,3077.623164645,3.0
224,0,0.260271523,44.0,0,6962.0,11.0,0,1.0,0,0.0,2066.703145448,10.0
225,0,0.455950788,63.0,1,6001.0,19.0,0,2.0,0,0.0,4211.298234078,17.0
226,0,0.080288098,37.0,0,6000.0,7.0,0,1.0,0,0.0,1934.677554,6.0
228,0,0.181557324,36.0,0,2000.0,7.0,0,1.0,0,1.0,1121.4392799999998,6.0
229,0,0.147123525,41.0,0,6400.0,5.0,0,1.0,0,2.0,2790.5639744,4.0
230,0,0.025601772,63.0,1,10000.0,8.0,0,1.0,0,0.0,2627.73723,7.0
231,0,0.0,76.0,0,7704.0,3.0,0,0.0,0,0.0,18.997532424000003,3.0
232,0,0.196372799,43.0,0,2600.0,10.0,0,1.0,0,0.0,1397.4625131999999,9.0
233,0,0.083945242,64.0,0,2900.0,6.0,0,1.0,0,0.0,1705.4119262,5.0
234,0,0.034833091,67.0,0,12916.0,9.0,0,2.0,0,0.0,5944.539751292,7.0
235,0,0.787522133,52.0,0,4416.0,12.0,0,0.0,0,1.0,1562.6461397760002,12.0
236,0,0.0,66.0,0,8861.831327017859,8.0,0,1.0,0,0.0,3730.0,7.0
237,0,0.125429152,55.0,0,5000.0,3.0,0,2.0,0,0.0,2383.523295,1.0
238,0,0.06037487,42.0,0,5833.0,17.0,0,2.0,0,2.0,3375.421325259,15.0
239,0,0.9999999,28.0,0,2666.1085968979105,0.0,0,0.0,0,0.0,0.0,0.0
240,0,0.295928252,47.0,0,14000.0,6.0,0,2.0,0,1.0,3972.71623,4.0
241,1,0.973339258,61.0,1,5500.0,11.0,0,0.0,1,1.0,1154.7900375,11.0
242,0,0.002856735,73.0,0,10500.0,10.0,0,0.0,0,0.0,2.9997135000000004,10.0
243,0,0.877564897,58.0,0,6931.790364081769,10.0,0,2.0,0,0.0,2825.0,8.0
244,0,0.9999999,68.0,0,6000.0,0.0,0,0.0,0,0.0,242.959506,0.0
245,0,0.053431552,41.0,0,9000.0,3.0,0,1.0,0,0.0,1832.79636,2.0
246,0,0.732660667,44.0,2,9200.0,15.0,0,1.0,0,0.0,1291.859584,14.0
247,0,0.084220458,42.0,0,6694.0,26.0,0,2.0,0,4.0,3069.541451652,24.0
248,0,0.114561798,40.0,0,10000.0,20.0,0,2.0,0,2.0,3599.64004,18.0
249,0,0.012151003,78.0,0,4500.0,12.0,0,0.0,0,0.0,39.991113,12.0
250,0,0.081310737,81.0,0,3333.0,4.0,0,0.0,0,0.0,551.834434371,4.0
251,0,0.09811305,49.0,0,6625.0,9.0,0,2.0,0,0.0,1702.742984625,7.0
253,0,0.011883886,54.0,0,9750.0,8.0,0,1.0,0,2.0,905.90708325,7.0
254,0,0.75264947,33.0,1,7166.0,6.0,0,0.0,0,0.0,417.941679254,6.0
255,0,0.112321289,53.0,0,8500.0,9.0,0,1.0,0,5.0,2268.7330875000002,8.0
256,0,0.0,23.0,0,1725.0,1.0,0,0.0,0,0.0,0.0,1.0
257,0,0.634327056,49.0,1,15000.0,7.0,0,0.0,0,1.0,1846.876875,7.0
258,0,0.15576324,44.0,0,4825.0,4.0,0,1.0,0,2.0,1341.72192065,3.0
259,0,0.0,63.0,0,9387.0,9.0,0,0.0,0,0.0,74.99201081400001,9.0
260,0,0.090614887,42.0,0,4816.199162374097,5.0,0,0.0,0,0.0,86.0,5.0
261,0,0.034645112,65.0,0,12500.0,4.0,0,1.0,0,1.0,1564.8748125,3.0
262,0,0.027446383,54.0,0,5783.27969623442,6.0,0,1.0,0,0.0,1612.0,5.0
263,0,0.412398622,28.0,0,4991.0,5.0,0,0.0,0,0.0,185.962738465,5.0
264,0,0.024670782,78.0,0,4655.4379843599545,6.0,0,1.0,0,0.0,392.0,5.0
265,0,0.046710961,66.0,0,2500.0,12.0,0,1.0,0,0.0,2794.8820475,11.0
266,0,0.976531824,32.0,0,6800.0,6.0,0,0.0,0,2.0,1795.7359216,6.0
267,0,0.007982621,43.0,1,208333.0,11.0,0,1.0,0,1.0,2018.9903112769998,10.0
268,0,0.267541336,59.0,0,5700.0,13.0,0,2.0,0,1.0,3634.3623909,11.0
269,0,0.019779326,76.0,0,2900.0,9.0,0,0.0,0,0.0,774.7328511,9.0
270,0,0.010402205,68.0,0,3600.0,6.0,0,1.0,0,0.0,338.9058612,5.0
271,0,0.9999999,61.0,0,1285.0,3.0,0,1.0,0,0.0,680.4704508650001,2.0
272,0,0.029816467,68.0,0,4464.0,12.0,0,1.0,0,1.0,781.824861792,11.0
273,0,0.181713732,57.0,0,11666.0,17.0,0,1.0,0,1.0,1521.8695510559999,16.0
274,0,0.051368557,68.0,0,4668.0,10.0,0,1.0,0,2.0,2078.5547211479998,9.0
275,0,0.29264536,57.0,0,26484.0,11.0,0,2.0,0,3.0,5453.794079856,9.0
276,1,0.220823719,46.0,1,1705.0,5.0,0,0.0,0,0.0,1087.362251305,5.0
277,0,0.008099838,69.0,0,8332.0,3.0,0,1.0,0,0.0,3248.610105872,2.0
278,0,0.0,44.0,0,6666.0,4.0,0,2.0,0,1.0,2175.673617546,2.0
279,0,0.006099797,28.0,0,3750.0,8.0,0,0.0,0,0.0,522.86056875,8.0
280,0,0.909538698,53.0,1,7500.0,16.0,0,1.0,0,1.0,4467.4043475,15.0
281,0,0.941072508,40.0,0,8855.0,9.0,0,1.0,0,0.0,1577.82181711,8.0
282,0,0.991667222,36.0,1,5411.0,10.0,0,2.0,0,1.0,3002.4451231390003,8.0
283,0,0.691488418,42.0,0,16250.0,11.0,0,1.0,0,1.0,4431.7272837499995,10.0
284,0,0.112855258,64.0,0,2652.0,6.0,0,1.0,0,0.0,815.6924245079999,5.0
285,0,0.260971034,57.0,0,11542.595322134048,16.0,0,3.0,0,1.0,5439.0,13.0
286,0,0.048244493,62.0,0,16615.0,11.0,0,1.0,0,1.0,4367.737127095,10.0
287,0,0.9999999,47.0,0,9493.0,2.0,2,0.0,1,0.0,874.907839696,2.0
288,0,0.9999999,62.0,0,5480.0,3.0,0,0.0,0,0.0,0.0,3.0
289,0,0.074256375,49.0,0,5000.0,11.0,0,2.0,0,3.0,1739.65207,9.0
